epoch,accuracy,loss
0,0.40759495,3.669810340374331
1,0.42025316,4.33202570722073
2,0.42025316,4.751318995560272
3,0.42025316,5.070074892345863
4,0.42151898,5.451154862174505
5,0.42405063,5.690064957775647
6,0.43164557,5.853144090386886
7,0.41518986,6.352895467492599
8,0.44556963,7.065466589867314
9,0.5151899,7.266611466226698
10,0.5164557,7.1274500231199625
11,0.5164557,6.766688688495491
12,0.51772153,6.637597805940652
13,0.5202532,6.56444014295747
14,0.5202532,6.397600037538552
